Run,Efficiency,Epack_Wh_kg,L_over_D,Harvest_kW,SiC_Gain,Range_km
1,0.862587988264766,389.447561955457,24.2285109729826,8.38115834007426,1.07250421639585,4220.84832205787
2,0.891218744198364,547.563617733327,22.4997498726927,6.45430539550174,1.27746876969628,6117.24359091037
3,0.851037235914429,559.798477140661,19.0997122466384,18.3161350750241,1.26216264924872,6001.87999708683
4,0.975077125637673,487.956403392661,21.3676302359026,13.3554292332832,1.14416747887367,5986.50681135301
5,0.846648790337874,337.939414130818,21.8571330205375,16.1388971505355,1.09641931709452,3617.4418855165
6,0.943576208935718,391.138421435275,20.0736618159965,9.03211425676332,1,4638.92882522469
7,0.769978752443638,304.037158818669,27.4303780570762,10.6312304848614,1,2950.83436780336
8,0.907773658723669,553.206216278918,24.3907751778131,19.2811689095731,1,6329.83419898891
9,0.98,469.867683219474,22.8356082369148,22.599041240553,1,5822.32030068578
10,0.888959576287639,534.957742763717,21.4147145276082,3.2511954812439,1.2919845547005,5953.11814831013
11,0.98,383.456254525657,21.1451265231665,22.9762396019159,1.43254788209603,4764.88926236893
12,0.855656419828787,657.493834162557,24.0184718042973,15.8558820615311,1,7073.06181432193
13,0.728470739860037,654.403753032745,22.3526203008014,15.3556237046616,1.3019267649529,5992.4831944203
14,0.799667451048947,436.068748093585,15.8637019306779,15.0043464044061,1,4394.87026570788
15,0.83422301187412,325.057347555678,22.0654668189676,6.64112861140214,1.0449225809816,3406.24954080872
16,0.782120200926673,373.398088469935,24.6159736654094,3.81786602341141,1,3659.48544017079
17,0.726583287133978,451.594049219734,21.153164773991,16.0105998950378,1,4136.40771205489
18,0.98,443.300556323355,15.6568019575667,10.8856277854703,1.01300966430234,5462.43556065038
19,0.7,375.636260873212,24.9009317295109,26.7768098366142,1.07305698844545,3343.04858329749
20,0.941158246434217,484.419477945261,19.5174934699748,14.0003075844765,1.03954851083924,5738.4718448265
21,0.891009048299385,403.980992348567,18.183335576212,5.05051473514899,1.42887423438854,4512.88415702698
22,0.920943208080596,305.791332425457,18.4202255394153,23.8874999091499,1,3586.20272598733
23,0.94190254238267,417.948431685403,19.6982065624218,10.0896831418799,1,4949.34412447615
